fracDancesWithFigure,dances,figure
0.993,443,Swing
0.758,338,Balance
0.673,300,Circle
0.608,271,Allemande
0.381,170,Long Lines
0.372,166,Ladies Chain
0.309,138,Hey
0.296,132,Star
0.267,119,Dosido
0.226,101,Gypsy
0.217,97,Pass Through
0.161,72,Promenade
0.148,66,Right and Left Through
0.121,54,Down the Hall
0.99,44,Rory O'More
0.85,38,Roll Away
0.78,35,Pull By
0.72,32,California Twirl
0.56,25,Petronella
0.54,24,Box the Gnat
0.43,19,Half Figure Eight
0.38,17,Contra Corners
0.34,15,Star Promenade, Butterfly Whirl
0.27,12,Cast Off
0.22,10,Mad Robin